Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
740	2.460	2.025	2.740	0.027	0.000	4000	3979	21	0	10	11.000	1	1
750	2.043	2.048	1.612	0.019	0.000	4000	3982	18	0	7	11.000	1	1
760	2.373	2.075	1.826	0.023	0.000	4000	3981	19	0	6	11.000	1	1
770	2.181	2.101	1.826	0.022	0.000	4000	3982	18	0	6	11.000	1	1
780	2.508	2.134	1.957	0.037	0.000	4000	3980	20	0	10	11.000	1	1
790	2.530	2.162	1.712	0.038	0.000	4000	3980	20	0	9	11.000	1	1
800	2.329	2.182	1.442	0.033	0.000	4000	3981	19	0	6	11.000	1	1
810	2.374	2.215	1.442	0.025	0.000	4000	3981	19	0	9	11.000	1	1
820	2.440	2.242	1.522	0.012	0.000	4000	3981	19	0	13	11.000	1	1
830	2.250	2.258	1.442	0.024	0.000	4000	3982	18	0	7	11.000	1	1
840	2.697	2.296	1.957	0.021	0.000	4000	3981	19	0	9	11.000	1	1
850	2.515	2.325	1.442	0.024	0.000	4000	3981	19	0	14	11.000	1	1
860	2.368	2.341	1.370	0.019	0.000	4000	3982	18	0	7	11.000	1	1
870	2.414	2.367	1.612	0.023	0.000	4000	3982	18	0	3	11.000	1	1
880	2.385	2.408	1.612	0.038	0.000	4000	3980	20	0	8	11.000	1	1
890	2.585	2.426	1.612	0.031	0.000	4000	3981	19	0	8	11.000	1	1
900	2.261	2.444	1.957	0.030	0.000	4000	3982	18	0	3	11.000	1	1
910	3.032	2.479	2.740	0.034	0.000	4000	3982	18	0	4	11.000	1	1
920	2.685	2.511	2.491	0.027	0.000	4000	3981	19	0	6	11.000	1	1
930	2.718	2.533	2.107	0.034	0.000	4000	3982	18	0	9	11.000	1	1
940	2.986	2.567	2.283	0.031	0.000	4000	3982	18	0	6	11.000	1	1
950	2.622	2.596	1.442	0.037	0.000	4000	3981	19	0	8	11.000	1	1
960	2.678	2.608	1.712	0.028	0.000	4000	3982	18	0	5	11.000	1	1
970	3.093	2.648	2.491	0.023	0.000	4000	3981	19	0	6	11.000	1	1
