date	meanR	varR	meanBeta	varBeta	meanSigma	varSigma	covBetaSigma
1.753425	-2.525929	0.001858	-0.668271	0.001858	-3.243589	0.000000	-0.000000
1.780822	-2.534762	0.001913	-0.663764	0.001913	-3.256928	0.000000	-0.000000
1.808219	-2.554392	0.001858	-0.668271	0.001858	-3.272051	0.000000	-0.000000
1.835616	-2.578297	0.001858	-0.668271	0.001858	-3.295957	0.000000	0.000000
1.863014	-2.578297	0.001858	-0.668271	0.001858	-3.295957	0.000000	0.000000
1.890411	-2.589431	0.001851	-0.665371	0.001851	-3.309991	0.000000	0.000000
1.917808	-2.622260	0.001858	-0.668271	0.001858	-3.339920	0.000000	0.000000
1.945205	-2.630723	0.001858	-0.668271	0.001858	-3.348382	0.000000	0.000000
1.972603	-2.651949	0.001828	-0.666322	0.001828	-3.371557	0.000000	0.000000
2.000000	-2.673715	0.001768	-0.667590	0.001768	-3.392056	0.000000	0.000000
2.027397	-2.683043	0.001814	-0.664510	0.001814	-3.404463	0.000000	-0.000000
2.054795	-2.716448	0.001858	-0.668271	0.001858	-3.434107	0.000000	-0.000000
2.082192	-2.714204	0.001766	-0.668858	0.001766	-3.431277	0.000000	0.000000
2.109589	-2.728870	0.001858	-0.668271	0.001858	-3.446530	0.000000	0.000000
2.136986	-2.746237	0.001690	-0.669387	0.001690	-3.462780	0.000000	0.000000
2.164384	-2.770355	0.001700	-0.667780	0.001700	-3.488505	0.000000	0.000000
2.191781	-2.778043	0.001861	-0.665899	0.001861	-3.498074	0.000000	0.000000
2.219178	-2.797586	0.001766	-0.668858	0.001766	-3.514658	0.000000	-0.000000
2.246575	-2.832026	0.001778	-0.669281	0.001778	-3.548675	0.000000	0.000000
2.273973	-2.851744	0.001858	-0.668271	0.001858	-3.569404	0.000000	-0.000000
2.301370	-2.873589	0.001760	-0.668435	0.001760	-3.591084	0.000000	0.000000
2.328767	-2.918300	0.001766	-0.668858	0.001766	-3.635372	0.000000	0.000000
2.356164	-2.936510	0.001858	-0.668271	0.001858	-3.654169	0.000000	-0.000000
2.383562	-2.928847	0.001858	-0.668271	0.001858	-3.646506	0.000000	0.000000
2.410959	-2.939571	0.001745	-0.666977	0.001745	-3.658525	0.000000	-0.000000
2.438356	-2.974032	0.001828	-0.666322	0.001828	-3.693641	0.000000	0.000000
2.465753	-2.987803	0.001858	-0.668271	0.001858	-3.705462	0.000000	-0.000000
2.493151	-2.987803	0.001858	-0.668271	0.001858	-3.705462	0.000000	-0.000000
2.520548	-2.991430	0.001768	-0.667590	0.001768	-3.709770	0.000000	0.000000
2.547945	-3.024921	0.001858	-0.668271	0.001858	-3.742580	0.000000	0.000000
2.575342	-3.037606	0.001858	-0.668271	0.001858	-3.755265	0.000000	-0.000000
2.602740	-3.063885	0.001760	-0.668435	0.001760	-3.781380	0.000000	-0.000000
2.630137	-3.076656	0.001858	-0.668271	0.001858	-3.794316	0.000000	0.000000
2.657534	-3.076226	0.001768	-0.667590	0.001768	-3.794567	0.000000	-0.000000
2.684932	-3.087220	0.001849	-0.664969	0.001849	-3.808181	0.000000	-0.000000
2.712329	-3.108119	0.001858	-0.668271	0.001858	-3.825779	0.000000	0.000000
2.739726	-3.103564	0.001858	-0.668271	0.001858	-3.821223	0.000000	-0.000000
2.767123	-3.105576	0.001900	-0.665476	0.001900	-3.826030	0.000000	0.000000
2.794521	-3.108119	0.001858	-0.668271	0.001858	-3.825779	0.000000	0.000000
2.821918	-3.118912	0.001709	-0.669387	0.001709	-3.835456	0.000000	0.000000
2.849315	-3.135899	0.001858	-0.668271	0.001858	-3.853558	0.000000	-0.000000
2.876712	-3.153159	0.001828	-0.666322	0.001828	-3.872767	0.000000	0.000000
2.904110	-3.171638	0.001900	-0.665476	0.001900	-3.892092	0.000000	0.000000
2.931507	-3.174181	0.001858	-0.668271	0.001858	-3.891841	0.000000	0.000000
2.958904	-3.184824	0.001766	-0.668858	0.001766	-3.901896	0.000000	0.000000
2.986301	-3.164472	0.001858	-0.668271	0.001858	-3.882132	0.000000	-0.000000
3.013699	-3.164472	0.001858	-0.668271	0.001858	-3.882132	0.000000	-0.000000
3.041096	-3.181944	0.001791	-0.671395	0.001791	-3.896479	0.000000	0.000000
3.068493	-3.211797	0.001791	-0.671395	0.001791	-3.926332	0.000000	-0.000000
3.095890	-3.208032	0.001966	-0.667379	0.001966	-3.926583	0.000000	0.000000
3.123288	-3.242568	0.001791	-0.671395	0.001791	-3.957104	0.000000	0.000000
3.150685	-3.242568	0.001791	-0.671395	0.001791	-3.957104	0.000000	-0.000000
3.178082	-3.247790	0.001791	-0.671395	0.001791	-3.962326	0.000000	0.000000
3.205479	-3.258317	0.001791	-0.671395	0.001791	-3.972852	0.000000	-0.000000
3.232877	-3.246256	0.001746	-0.669610	0.001746	-3.962577	0.000000	-0.000000
3.260274	-3.247790	0.001791	-0.671395	0.001791	-3.962326	0.000000	0.000000
3.287671	-3.258317	0.001791	-0.671395	0.001791	-3.972852	0.000000	0.000000
3.315068	-3.258317	0.001791	-0.671395	0.001791	-3.972852	0.000000	0.000000
3.342466	-3.266975	0.001776	-0.669164	0.001776	-3.983742	0.000000	0.000000
3.369863	-3.257229	0.001722	-0.670056	0.001722	-3.973104	0.000000	-0.000000
3.397260	-3.254998	0.001908	-0.667825	0.001908	-3.973104	0.000000	-0.000000
3.424658	-3.247790	0.001791	-0.671395	0.001791	-3.962326	0.000000	-0.000000
3.452055	-3.232206	0.001791	-0.671395	0.001791	-3.946741	0.000000	0.000000
3.479452	-3.237625	0.001692	-0.671395	0.001692	-3.952160	0.000000	0.000000
3.506849	-3.247790	0.001791	-0.671395	0.001791	-3.962326	0.000000	-0.000000
3.534247	-3.237374	0.001791	-0.671395	0.001791	-3.951909	0.000000	-0.000000
3.561644	-3.253323	0.001902	-0.665899	0.001902	-3.973355	0.000000	0.000000
3.589041	-3.256783	0.001746	-0.669610	0.001746	-3.973104	0.000000	-0.000000
3.616438	-3.265190	0.001966	-0.667379	0.001966	-3.983742	0.000000	0.000000
3.643836	-3.263622	0.001791	-0.671395	0.001791	-3.978157	0.000000	0.000000
3.671233	-3.248041	0.001692	-0.671395	0.001692	-3.962577	0.000000	0.000000
3.698630	-3.253040	0.001791	-0.671395	0.001791	-3.967575	0.000000	-0.000000
3.726027	-3.268955	0.001791	-0.671395	0.001791	-3.983491	0.000000	-0.000000
3.753425	-3.279708	0.001791	-0.671395	0.001791	-3.994244	0.000000	0.000000
3.780822	-3.307107	0.001791	-0.671395	0.001791	-4.021643	0.000000	0.000000
3.808219	-3.280851	0.001705	-0.672287	0.001705	-3.994495	0.000000	0.000000
3.835616	-3.279708	0.001791	-0.671395	0.001791	-3.994244	0.000000	0.000000
3.863014	-3.283594	0.001746	-0.669610	0.001746	-3.999915	0.000000	0.000000
3.890411	-3.303788	0.001908	-0.667825	0.001908	-4.021894	0.000000	0.000000
