date	meanR	varR	meanBeta	varBeta	meanSigma	varSigma	covBetaSigma
8.767123	-3.622038	0.002267	-0.660150	0.002267	-4.347818	0.000000	0.000000
8.794521	-3.637181	0.002167	-0.659538	0.002167	-4.363574	0.000000	-0.000000
8.821918	-3.629760	0.002267	-0.660150	0.002267	-4.355541	0.000000	0.000000
8.849315	-3.638329	0.002165	-0.660685	0.002165	-4.363574	0.000000	-0.000000
8.876712	-3.693782	0.002267	-0.660150	0.002267	-4.419562	0.000000	0.000000
8.904110	-3.685955	0.002160	-0.660303	0.002160	-4.411583	0.000000	0.000000
8.931507	-3.693782	0.002267	-0.660150	0.002267	-4.419562	0.000000	0.000000
8.958904	-3.668547	0.002179	-0.659155	0.002179	-4.395323	0.000000	0.000000
8.986301	-3.693782	0.002267	-0.660150	0.002267	-4.419562	0.000000	0.000000
9.013699	-3.702080	0.002267	-0.660150	0.002267	-4.427861	0.000000	0.000000
9.041096	-3.735982	0.002267	-0.660150	0.002267	-4.461763	0.000000	0.000000
9.068493	-3.753374	0.002267	-0.660150	0.002267	-4.479154	0.000000	0.000000
9.095890	-3.744640	0.002267	-0.660150	0.002267	-4.470421	0.000000	0.000000
9.123288	-3.744640	0.002267	-0.660150	0.002267	-4.470421	0.000000	0.000000
9.150685	-3.744640	0.002267	-0.660150	0.002267	-4.470421	0.000000	0.000000
9.178082	-3.753374	0.002267	-0.660150	0.002267	-4.479154	0.000000	0.000000
9.205479	-3.753374	0.002267	-0.660150	0.002267	-4.479154	0.000000	0.000000
9.232877	-3.764074	0.002082	-0.661537	0.002082	-4.488468	0.000000	-0.000000
9.260274	-3.744640	0.002267	-0.660150	0.002267	-4.470421	0.000000	0.000000
9.287671	-3.726273	0.002197	-0.658773	0.002197	-4.453430	0.000000	0.000000
9.315068	-3.744640	0.002267	-0.660150	0.002267	-4.470421	0.000000	0.000000
9.342466	-3.729514	0.002274	-0.662517	0.002274	-4.452928	0.000000	0.000000
9.369863	-3.782158	0.002274	-0.662517	0.002274	-4.505571	0.000000	0.000000
9.397260	-3.782158	0.002274	-0.662517	0.002274	-4.505571	0.000000	0.000000
9.424658	-3.755490	0.002274	-0.662517	0.002274	-4.478903	0.000000	-0.000000
9.452055	-3.755490	0.002274	-0.662517	0.002274	-4.478903	0.000000	-0.000000
9.479452	-3.738299	0.002097	-0.662215	0.002097	-4.462014	0.000000	0.000000
9.506849	-3.782158	0.002274	-0.662517	0.002274	-4.505571	0.000000	0.000000
9.534247	-3.755490	0.002274	-0.662517	0.002274	-4.478903	0.000000	-0.000000
9.561644	-3.755490	0.002274	-0.662517	0.002274	-4.478903	0.000000	-0.000000
9.589041	-3.739195	0.002174	-0.663363	0.002174	-4.461763	0.000000	0.000000
9.616438	-3.746756	0.002274	-0.662517	0.002274	-4.470170	0.000000	0.000000
9.643836	-3.752631	0.002351	-0.659155	0.002351	-4.479406	0.000000	-0.000000
9.671233	-3.764300	0.002274	-0.662517	0.002274	-4.487714	0.000000	0.000000
9.698630	-3.791208	0.002274	-0.662517	0.002274	-4.514621	0.000000	0.000000
9.726027	-3.791208	0.002274	-0.662517	0.002274	-4.514621	0.000000	0.000000
9.753425	-3.755490	0.002274	-0.662517	0.002274	-4.478903	0.000000	-0.000000
9.780822	-3.766031	0.002086	-0.663745	0.002086	-4.488216	0.000000	0.000000
9.808219	-3.800340	0.002274	-0.662517	0.002274	-4.523754	0.000000	0.000000
9.835616	-3.760578	0.002461	-0.658543	0.002461	-4.487965	0.000000	0.000000
9.863014	-3.704892	0.002164	-0.662961	0.002164	-4.427861	0.000000	0.000000
9.890411	-3.704197	0.002274	-0.662517	0.002274	-4.427610	0.000000	-0.000000
9.917808	-3.718084	0.002352	-0.659346	0.002352	-4.444668	0.000000	-0.000000
9.945205	-3.729514	0.002274	-0.662517	0.002274	-4.452928	0.000000	0.000000
9.972603	-3.695898	0.002274	-0.662517	0.002274	-4.419311	0.000000	0.000000
10.000000	-3.704197	0.002274	-0.662517	0.002274	-4.427610	0.000000	-0.000000
